Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.28	-13.36	0.0	0.1798814265481804
2	1	2018	-21.04	-4.95	0.0	0.309678162953991
3	1	2018	-14.92	-2.81	0.0	0.3183839077454291
4	1	2018	-14.04	-6.0	0.0	0.2142914727270463
5	1	2018	-13.9	-6.6	0.0	0.1948625377139905
6	1	2018	-11.86	1.24	0.0	0.4070093289998583
7	1	2018	-8.23	1.73	0.0	0.3624156807439528
8	1	2018	-9.62	-2.05	0.0	0.2544184103410521
9	1	2018	-11.06	0.09	0.0	0.3586087843981193
10	1	2018	-23.86	-15.24	0.26	0.1288482832366116
11	1	2018	-29.09	-21.69	0.0	0.0750097089931803
12	1	2018	-31.15	-19.74	0.0	0.1067056012881178
13	1	2018	-27.63	-8.27	0.0	0.2604684883818842
14	1	2018	-22.61	-9.43	0.0	0.2287535112801843
15	1	2018	-29.33	-15.79	0.0	0.1505788783941294
16	1	2018	-21.22	-0.61	0.0	0.4211246889865068
17	1	2018	-9.34	4.26	0.0	0.516723983877913
18	1	2018	-7.48	8.23	0.0	0.6990266457967419
19	1	2018	-4.91	4.62	0.0	0.4131318881662441
20	1	2018	-8.02	1.1	0.0	0.3462937005780261
21	1	2018	-12.04	-1.02	0.0	0.3494737332498419
22	1	2018	-11.14	4.17	0.0	0.5727322262424983
23	1	2018	-10.71	-0.18	0.0	0.3584198272873551
24	1	2018	-10.78	-2.78	0.0	0.268138797220445
25	1	2018	-9.49	-0.92	0.0	0.3083679273452872
26	1	2018	-12.45	-6.13	0.53	0.1931369504797453
27	1	2018	-20.33	-13.18	0.0	0.139478720846291
28	1	2018	-22.52	-14.25	0.0	0.1432253593150687
29	1	2018	-23.21	-2.97	0.0	0.3922595397283332
30	1	2018	-12.39	3.77	0.0	0.6173930575316021
31	1	2018	-23.08	-13.29	0.0	0.1695602554299713
1	2	2018	-26.38	-14.97	0.0	0.1625335863449196
2	2	2018	-21.76	-16.95	2.92	0.0811438457723712
3	2	2018	-27.32	-20.45	0.86	0.0870752960058604
4	2	2018	-28.8	-16.43	0.0	0.1529529233354813
5	2	2018	-26.48	-15.27	0.0	0.1618163645113056
6	2	2018	-27.94	-17.27	0.0	0.1386916700274296
7	2	2018	-27.91	-14.19	0.0	0.1863250440167478
8	2	2018	-26.91	-17.12	0.0	0.136534861154913
9	2	2018	-28.56	-15.76	0.0	0.1657927903317804
10	2	2018	-21.01	-9.33	0.0	0.2560678366192597
11	2	2018	-27.72	-15.27	0.0	0.1720057303815402
12	2	2018	-32.26	-12.81	0.0	0.2130605082993143
13	2	2018	-18.67	2.01	0.0	0.6576337444167359
14	2	2018	-14.21	1.32	1.44	0.6561125693867574
15	2	2018	-27.1	-13.16	0.0	0.2104163101145273
16	2	2018	-21.31	-4.24	0.0	0.4513140548489004
17	2	2018	-18.89	-9.93	0.0	0.2272389453554185
18	2	2018	-22.68	-12.3	0.0	0.208223902727672
19	2	2018	-27.81	-13.15	0.0	0.2236624350063182
20	2	2018	-23.27	-11.65	0.0	0.2411501913998543
21	2	2018	-29.73	-9.6	0.0	0.3012551218424689
