Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.04	-13.43	0.0	0.1787339212250875
2	1	2018	-21.58	-5.45	0.0	0.3005050133719761
3	1	2018	-15.21	-3.26	0.0	0.3094224943299655
4	1	2018	-14.08	-6.4	0.0	0.2042229595881635
5	1	2018	-13.95	-7.15	0.0	0.1808804969094313
6	1	2018	-12.43	0.53	0.0	0.3917569850316675
7	1	2018	-8.55	0.92	0.0	0.3389162766946101
8	1	2018	-9.64	-2.34	0.0	0.2454609501536475
9	1	2018	-11.83	-1.08	0.0	0.332410309393633
10	1	2018	-24.16	-16.44	0.34	0.1118119275362273
11	1	2018	-29.33	-21.86	0.0	0.0747588823463281
12	1	2018	-31.15	-20.54	0.0	0.0978586933796354
13	1	2018	-27.77	-8.83	0.0	0.2506180218472011
14	1	2018	-22.87	-10.88	0.0	0.2020642206823878
15	1	2018	-29.42	-15.93	0.0	0.1489707412532293
16	1	2018	-21.08	-1.53	0.0	0.3981068474203901
17	1	2018	-9.96	4.02	0.31	0.5135733864355116
18	1	2018	-7.7	7.54	0.0	0.6562609597739801
19	1	2018	-4.86	3.95	0.0	0.3827740971652255
20	1	2018	-7.9	0.76	0.0	0.3308064663242724
21	1	2018	-11.88	-1.77	0.0	0.322181843522132
22	1	2018	-11.03	2.67	0.0	0.4931090171314726
23	1	2018	-10.47	-0.92	0.0	0.3281669057301827
24	1	2018	-10.72	-3.6	0.0	0.2385200263303682
25	1	2018	-9.89	-1.95	0.0	0.2803122156638071
26	1	2018	-12.8	-7.68	1.14	0.1522086265389787
27	1	2018	-21.02	-13.73	0.0	0.1371427862360212
28	1	2018	-23.29	-14.86	0.0	0.1393625631198398
29	1	2018	-23.89	-3.84	0.0	0.3631293320303845
30	1	2018	-12.56	2.24	0.0	0.5372683084641766
31	1	2018	-23.46	-14.34	0.0	0.1531973303785943
1	2	2018	-27.22	-15.87	0.0	0.152841736309427
2	2	2018	-22.29	-17.91	3.1	0.0710670475121079
3	2	2018	-27.32	-20.84	1.26	0.0819719832632764
4	2	2018	-28.5	-16.71	0.0	0.1483129478455505
5	2	2018	-26.32	-15.65	0.0	0.1555070935627595
6	2	2018	-27.48	-17.3	0.0	0.13668698084954
7	2	2018	-28.15	-14.79	0.0	0.1781257492166617
8	2	2018	-26.97	-17.18	0.0	0.1367148698212788
9	2	2018	-28.3	-16.05	0.0	0.1609888798992232
10	2	2018	-20.72	-9.77	0.0	0.2414299097107698
11	2	2018	-27.87	-16.37	0.0	0.1560868946595305
12	2	2018	-31.96	-12.83	0.0	0.2134009188621304
13	2	2018	-18.69	1.78	0.0	0.6495479162198665
14	2	2018	-14.87	1.04	1.44	0.6477616398823236
15	2	2018	-28.47	-13.43	0.0	0.2099009478720994
16	2	2018	-21.3	-4.94	0.0	0.4308431134133134
17	2	2018	-19.1	-10.72	0.0	0.2034108658214028
18	2	2018	-22.77	-12.7	0.0	0.1996423276483495
19	2	2018	-27.79	-13.91	0.0	0.2085819659308032
20	2	2018	-23.82	-12.13	0.0	0.2345373342114211
21	2	2018	-30.13	-10.65	0.0	0.2791619572804255
22	2	2018	-24.62	-8.13	0.0	0.3566853908347728
23	2	2018	-20.32	-6.62	0.0	0.4026691528607314
24	2	2018	-16.78	-1.6	0.0	0.6000075749440587
25	2	2018	-16.31	-1.65	0.0	0.6007456009048169
26	2	2018	-15.34	-4.51	0.0	0.4532391862024266
27	2	2018	-15.13	-1.83	0.0	0.5969423826865623
28	2	2018	-13.63	0.66	0.0	0.7291045309859296
1	3	2018	-17.46	-2.78	0.0	0.5797874799061132
2	3	2018	-14.68	-4.6	0.0	0.4609657213554553
3	3	2018	-8.7	-4.52	4.84	0.1692390115394156
4	3	2018	-10.87	-5.35	7.05	0.203919367528404
5	3	2018	-13.83	-8.66	1.29	0.1790314706023915
6	3	2018	-17.09	-6.98	0.0	0.3567156677967057
7	3	2018	-23.59	-6.85	0.0	0.4169885459974369
8	3	2018	-24.02	-8.23	0.0	0.3771282057764025
9	3	2018	-14.37	-2.38	0.0	0.5695121718794405
10	3	2018	-12.11	-1.29	0.0	0.5984923461404186
11	3	2018	-14.19	2.41	0.0	0.8384483309134821
12	3	2018	-15.75	-0.93	0.0	0.6770836013284366
13	3	2018	-15.66	1.72	0.0	0.8107160273965558
14	3	2018	-15.6	-1.05	0.0	0.6842310625110137
15	3	2018	-11.77	-3.42	0.0	0.4695717414867901
16	3	2018	-8.1	1.86	0.0	0.7811491822663611
17	3	2018	-4.44	0.09	1.16	0.3361178591681563
18	3	2018	-6.51	0.88	0.56	0.62689144259477
19	3	2018	-8.84	-0.64	0.0	0.6097199560758523
20	3	2018	-7.59	1.64	0.0	0.7776560361457989
21	3	2018	-10.43	2.5	0.0	0.9280843021076184
22	3	2018	-9.4	0.49	0.0	0.7656352527754736
23	3	2018	-4.43	0.14	3.93	0.2677626355281918
24	3	2018	-8.29	3.05	0.0	0.9574880327261472
25	3	2018	-6.58	1.71	0.0	0.8009585624307534
26	3	2018	-8.22	4.02	0.0	1.0734798721888468
27	3	2018	-10.15	2.71	0.0	1.0064690912112368
28	3	2018	-14.7	-3.26	0.45	0.6782477013117407
29	3	2018	-20.22	-8.6	0.59	0.4533165253219675
30	3	2018	-23.79	-12.21	0.0	0.3416954001257974
31	3	2018	-21.98	-9.52	0.0	0.4428934292333978
1	4	2018	-18.67	-5.38	0.0	0.620412275775755
2	4	2018	-20.46	-5.39	0.0	0.6155315548263954
3	4	2018	-16.93	-4.05	0.0	0.6855706448512676
4	4	2018	-18.28	-2.72	0.0	0.7482242606581164
5	4	2018	-18.59	-8.97	0.0	0.4370270927491553
6	4	2018	-22.84	-8.94	0.0	0.4802593512284719
7	4	2018	-21.54	-5.34	0.0	0.6289029884116458
8	4	2018	-13.59	-2.88	0.0	0.7517264448308371
9	4	2018	-8.71	0.55	0.0	0.9181030612504448
10	4	2018	-10.78	6.23	0.0	1.2831215445482085
11	4	2018	-3.6	0.9	1.33	0.5866269665038351
12	4	2018	-6.01	-0.95	0.0	0.580150026605993
13	4	2018	-6.76	0.52	0.0	0.8730279637332571
14	4	2018	-4.19	6.07	0.0	1.3489183838759824
15	4	2018	-3.97	7.56	0.0	1.4478744699117194
16	4	2018	-1.82	4.13	2.03	0.7568788625393709
17	4	2018	-2.07	1.32	5.7	0.2856356251689454
18	4	2018	-4.91	8.87	0.0	1.5382731489930654
19	4	2018	-2.05	11.27	0.0	1.6993445374858245
20	4	2018	-0.56	16.85	0.0	2.052433315068236
21	4	2018	1.2	18.5	0.0	2.171743486437752
22	4	2018	2.75	13.28	0.0	1.8031475520437452
23	4	2018	-0.34	13.15	0.0	1.826866047687226
24	4	2018	-1.13	19.88	0.0	2.2229846192280465
25	4	2018	2.96	17.22	0.0	2.098863823784557
26	4	2018	-0.61	21.51	0.0	2.2473664543531062
27	4	2018	-0.64	15.63	0.0	1.919057462012252
28	4	2018	1.17	25.92	0.0	2.521390854296377
29	4	2018	5.95	20.33	0.0	2.2274706252878187
30	4	2018	0.36	11.31	0.0	1.6198133947840698
1	5	2018	-2.93	16.33	0.0	1.945530622354571
2	5	2018	1.49	17.98	0.0	2.0902057854679437
3	5	2018	5.47	21.21	0.0	2.3088651756233687
4	5	2018	3.84	23.66	0.0	2.468097075711922
5	5	2018	4.55	24.37	0.0	2.5175993784374597
6	5	2018	4.46	27.06	0.0	2.678616706041611
7	5	2018	10.86	26.47	0.0	2.6433240530458706
8	5	2018	7.78	16.91	5.74	1.6525306611488624
9	5	2018	2.34	13.1	0.0	1.7323904331050592
10	5	2018	1.34	10.76	3.23	1.205406560258428
11	5	2018	4.09	10.66	2.29	0.844402410249545
12	5	2018	2.29	18.81	0.0	2.172566232220446
13	5	2018	6.42	26.06	0.0	2.66215666598755
14	5	2018	3.39	24.22	0.0	2.5274055064568324
15	5	2018	11.04	31.4	0.0	3.007689322342795
16	5	2018	9.33	26.65	1.68	2.6818840974364
17	5	2018	7.0	13.9	2.99	0.9183600822295714
18	5	2018	3.61	18.09	0.0	2.0978383545233914
19	5	2018	2.69	21.63	0.0	2.358466273358944
