Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.59	-13.57	0.0	0.1775375361199803
2	1	2018	-21.18	-4.57	0.0	0.3193289625205651
3	1	2018	-14.25	-2.11	0.0	0.3312098704041633
4	1	2018	-13.81	-5.3	0.0	0.2309166007675186
5	1	2018	-13.74	-5.91	0.0	0.2125831279943122
6	1	2018	-11.4	1.94	0.0	0.4256410125213059
7	1	2018	-8.12	2.2	0.0	0.3783963348170945
8	1	2018	-9.66	-1.6	0.0	0.2719860072715768
9	1	2018	-10.54	1.19	0.0	0.3882756571652025
10	1	2018	-23.6	-15.16	0.37	0.1281232320958698
11	1	2018	-28.95	-21.66	0.0	0.0745824126370222
12	1	2018	-31.34	-19.74	0.0	0.1074302060520616
13	1	2018	-27.31	-7.71	0.0	0.2707335483670701
14	1	2018	-22.36	-8.59	0.0	0.2448149878556422
15	1	2018	-29.32	-15.2	0.0	0.1588392080804036
16	1	2018	-21.11	0.14	0.0	0.4403001699129746
17	1	2018	-9.11	4.0	0.0	0.4773699459997676
18	1	2018	-7.1	8.14	0.0	0.6293983079248626
19	1	2018	-4.97	4.79	0.0	0.4230173196621077
20	1	2018	-8.3	1.39	0.0	0.3644906407752286
21	1	2018	-12.04	-0.32	0.0	0.3735070118033866
22	1	2018	-10.98	4.72	0.0	0.5507816596666918
23	1	2018	-10.97	0.69	0.0	0.3947208280909694
24	1	2018	-10.7	-1.61	0.0	0.3082176438608821
25	1	2018	-9.03	0.05	0.0	0.3355340593109079
26	1	2018	-12.26	-5.53	0.55	0.2086088642282377
27	1	2018	-19.34	-12.97	0.0	0.1309236520823126
28	1	2018	-21.5	-13.62	0.45	0.1450268383934531
29	1	2018	-22.47	-2.3	0.0	0.3988212601580582
30	1	2018	-12.09	4.39	0.0	0.5936916733754166
31	1	2018	-22.71	-12.99	0.0	0.1723904235629723
1	2	2018	-25.91	-14.38	0.0	0.1701053961081372
2	2	2018	-21.58	-16.59	3.68	0.0853903780046788
3	2	2018	-27.5	-20.09	1.01	0.0934677558775159
4	2	2018	-29.08	-16.29	0.0	0.1562200021276813
5	2	2018	-26.84	-15.31	0.0	0.163133616830892
6	2	2018	-28.41	-17.23	0.0	0.1417363902786962
7	2	2018	-27.58	-13.46	0.0	0.1974893083218157
8	2	2018	-26.74	-17.09	0.0	0.136153965899104
9	2	2018	-28.88	-16.0	0.0	0.1635477804223208
10	2	2018	-21.33	-9.42	0.0	0.2578499881568448
11	2	2018	-27.72	-14.94	0.0	0.1775553310268966
12	2	2018	-32.64	-12.75	0.0	0.2141030580135342
13	2	2018	-19.12	2.13	0.0	0.6618605862007426
14	2	2018	-13.53	1.17	1.71	0.6500286300587231
15	2	2018	-26.4	-12.73	0.0	0.2150288529484472
16	2	2018	-21.05	-3.8	0.0	0.4613487653667831
17	2	2018	-18.97	-9.86	0.0	0.2331351726511877
18	2	2018	-22.84	-12.43	0.0	0.2067254846003131
19	2	2018	-27.85	-12.82	0.0	0.2323673583289272
20	2	2018	-23.55	-11.57	0.0	0.247225356322083
21	2	2018	-29.23	-9.46	0.0	0.3082520351709141
22	2	2018	-24.91	-8.76	0.0	0.3398989739516777
23	2	2018	-19.86	-6.18	0.0	0.417539304834039
24	2	2018	-16.15	-1.78	0.0	0.5922006060429789
