Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.56	-13.53	0.0	0.1780085259465338
2	1	2018	-21.19	-4.65	0.0	0.3176584368353299
3	1	2018	-14.36	-2.21	0.0	0.329576701104784
4	1	2018	-13.9	-5.44	0.0	0.2281986985974914
5	1	2018	-13.76	-6.0	0.0	0.2100236213130762
6	1	2018	-11.38	1.93	0.0	0.424863835066796
7	1	2018	-8.05	2.22	0.0	0.3777035937252635
8	1	2018	-9.63	-1.66	0.0	0.2686769833227661
9	1	2018	-10.53	1.17	0.0	0.3875184566821438
10	1	2018	-23.6	-15.01	0.33	0.1306508067146274
11	1	2018	-28.95	-21.67	0.0	0.0744867907774674
12	1	2018	-31.29	-19.73	0.0	0.1073905219575073
13	1	2018	-27.38	-7.77	0.0	0.2696718114066103
14	1	2018	-22.4	-8.72	0.0	0.2423272727821267
15	1	2018	-29.3	-15.33	0.0	0.1569296400632121
16	1	2018	-21.2	0.03	0.0	0.4374394329276893
17	1	2018	-9.17	4.05	0.0	0.4801864534225472
18	1	2018	-7.16	8.14	0.0	0.637872415865235
19	1	2018	-4.96	4.81	0.0	0.4234056498763859
20	1	2018	-8.26	1.4	0.0	0.3640565582222186
21	1	2018	-12.07	-0.35	0.0	0.3728580638087634
22	1	2018	-11.05	4.71	0.0	0.5573097892405083
23	1	2018	-10.92	0.6	0.0	0.3906566632209131
24	1	2018	-10.75	-1.77	0.0	0.3035274824019112
25	1	2018	-9.08	0.03	0.0	0.3356684654278704
26	1	2018	-12.26	-5.49	0.54	0.2098199107450353
27	1	2018	-19.47	-13.01	0.0	0.1319581788964168
28	1	2018	-21.63	-13.66	0.4	0.145526506664243
29	1	2018	-22.55	-2.36	0.0	0.3971939614027446
30	1	2018	-12.16	4.37	0.0	0.5999450309510282
31	1	2018	-22.71	-13.0	0.0	0.1722505703844573
1	2	2018	-26.0	-14.43	0.0	0.1696605103953853
2	2	2018	-21.6	-16.56	3.62	0.0861586841497435
3	2	2018	-27.47	-20.11	0.98	0.0928368665184565
4	2	2018	-29.07	-16.31	0.0	0.1558090272337879
5	2	2018	-26.78	-15.31	0.0	0.1628448444618207
6	2	2018	-28.38	-17.22	0.0	0.14169983111372
7	2	2018	-27.63	-13.54	0.0	0.1962236462228227
8	2	2018	-26.81	-17.08	0.0	0.1366763107781077
9	2	2018	-28.85	-15.94	0.0	0.1643379169664082
10	2	2018	-21.3	-9.44	0.0	0.2566234373092259
11	2	2018	-27.7	-14.98	0.0	0.1768062627148876
12	2	2018	-32.58	-12.79	0.0	0.2135316207408427
13	2	2018	-19.04	2.11	0.0	0.6614786600754835
14	2	2018	-13.61	1.2	1.57	0.6511485350416636
15	2	2018	-26.41	-12.76	0.0	0.2177363502130464
16	2	2018	-21.1	-3.84	0.0	0.4668387863077549
17	2	2018	-18.88	-9.81	0.0	0.2329727041741897
18	2	2018	-22.77	-12.38	0.0	0.2074004182124951
19	2	2018	-27.83	-12.85	0.0	0.2316694128707432
20	2	2018	-23.49	-11.54	0.0	0.2472816656867682
21	2	2018	-29.26	-9.47	0.0	0.3076535841101923
22	2	2018	-24.94	-8.71	0.0	0.3408311201934304
23	2	2018	-19.9	-6.18	0.0	0.4174834508870211
24	2	2018	-16.17	-1.78	0.0	0.5917926740666094
25	2	2018	-16.65	-0.87	0.0	0.6372724137620471
26	2	2018	-14.81	-4.07	0.0	0.4652120780073653
27	2	2018	-14.75	-0.99	0.0	0.6367517861606993
28	2	2018	-13.54	0.89	0.0	0.74091504800687
1	3	2018	-17.95	-1.55	0.0	0.6321620055372497
2	3	2018	-13.04	-3.52	0.0	0.4835565608465537
3	3	2018	-7.48	-3.59	3.69	0.1662556691469492
4	3	2018	-10.54	-4.71	7.87	0.2193447485136002
5	3	2018	-14.04	-8.67	0.97	0.1832707468429556
6	3	2018	-17.41	-7.62	0.0	0.3318422339166176
7	3	2018	-23.57	-5.94	0.0	0.447664742636933
8	3	2018	-24.2	-7.61	0.0	0.3977545650064527
9	3	2018	-12.68	-0.39	0.0	0.663113681044491
10	3	2018	-11.92	-1.55	0.0	0.576891305608762
11	3	2018	-14.05	2.45	0.0	0.8459044133357471
12	3	2018	-16.1	-0.56	0.0	0.699047967933462
13	3	2018	-16.01	2.29	0.0	0.8389829354396378
14	3	2018	-15.83	-0.86	0.0	0.6975862209421606
15	3	2018	-10.26	-2.61	0.0	0.4675552668084949
16	3	2018	-7.0	2.32	0.0	0.7803507438739076
17	3	2018	-4.78	0.84	1.8	0.4730963400319318
18	3	2018	-5.46	1.52	0.32	0.6138221767312091
19	3	2018	-8.31	0.53	0.0	0.689666022618938
20	3	2018	-8.41	2.47	0.0	0.8747423518502031
21	3	2018	-10.56	2.7	0.0	0.9399466530158636
22	3	2018	-8.72	1.3	0.0	0.8063938346717743
23	3	2018	-4.86	1.11	4.73	0.4228558960392165
24	3	2018	-9.19	3.02	0.0	0.9683243989538276
25	3	2018	-6.15	1.82	0.0	0.7788532317172677
26	3	2018	-7.31	5.1	0.0	1.1400435906859805
27	3	2018	-9.26	5.38	0.0	1.1775785877977476
28	3	2018	-12.45	-1.37	0.75	0.7613687333205036
29	3	2018	-18.86	-5.58	0.83	0.5768624634267018
30	3	2018	-22.2	-12.57	0.0	0.3024378429800964
31	3	2018	-21.66	-9.51	0.0	0.4359778138385479
1	4	2018	-18.27	-5.3	0.0	0.6156414368673719
2	4	2018	-19.89	-5.24	0.0	0.6176866614579994
3	4	2018	-16.17	-3.35	0.0	0.7119312329209802
4	4	2018	-17.83	-2.32	0.0	0.7626094060437661
5	4	2018	-17.84	-7.53	0.0	0.4956448215856827
6	4	2018	-22.49	-9.22	0.0	0.4635110097617986
7	4	2018	-20.73	-4.23	0.0	0.6744481770439059
8	4	2018	-11.78	-2.35	0.0	0.7369650192002652
9	4	2018	-6.68	1.26	0.0	0.8808580533427235
10	4	2018	-9.72	7.62	0.0	1.36571781902576
11	4	2018	-2.79	2.26	1.1	0.7000668760559181
