Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.27	-13.44	0.0	0.1789037505800869
2	1	2018	-21.3	-4.87	0.0	0.3125890955980246
3	1	2018	-13.94	-2.32	0.0	0.3210718126231044
4	1	2018	-13.57	-5.54	0.0	0.2203020430779268
5	1	2018	-14.08	-6.57	0.0	0.1995413130087986
6	1	2018	-12.76	0.89	0.0	0.407709888385092
7	1	2018	-8.87	0.86	0.0	0.3434921014454707
8	1	2018	-9.93	-2.18	0.0	0.2576785369624778
9	1	2018	-11.77	-0.51	0.0	0.3507948015127904
10	1	2018	-24.26	-17.78	0.45	0.0914099683587701
11	1	2018	-29.52	-21.98	0.0	0.0743875099798413
12	1	2018	-31.56	-20.66	0.0	0.0980968026545604
13	1	2018	-27.41	-8.38	0.0	0.2586524543329328
14	1	2018	-22.73	-10.22	0.0	0.2142850800858084
15	1	2018	-29.36	-15.19	0.0	0.1588480734081041
16	1	2018	-20.96	-0.71	0.0	0.4183751780639032
17	1	2018	-9.35	3.64	0.57	0.4678144292661021
18	1	2018	-7.42	7.48	0.0	0.5885126124585943
19	1	2018	-5.12	3.91	0.0	0.3884287130566058
20	1	2018	-8.2	0.76	0.0	0.3381028872000546
21	1	2018	-11.97	-1.45	0.0	0.3350555804360459
22	1	2018	-10.86	2.95	0.0	0.4731033361103291
23	1	2018	-11.09	0.08	0.0	0.3757160276956464
24	1	2018	-10.75	-2.89	0.0	0.2645782802979929
25	1	2018	-9.72	-2.11	0.0	0.2700949804852336
26	1	2018	-12.85	-7.74	0.75	0.1517568486090176
27	1	2018	-19.75	-13.35	0.0	0.1290752831094365
28	1	2018	-22.0	-14.37	0.66	0.1360071483497256
29	1	2018	-22.92	-2.74	0.0	0.3877156197993636
30	1	2018	-12.57	1.94	0.0	0.4740599908417877
31	1	2018	-23.69	-14.57	0.0	0.1512068046387217
1	2	2018	-26.79	-15.51	0.0	0.1565861481318393
2	2	2018	-22.29	-17.89	3.75	0.0716680751439949
3	2	2018	-27.53	-20.56	1.45	0.0876104815290953
4	2	2018	-28.74	-16.7	0.0	0.1496267801464645
5	2	2018	-26.72	-15.6	0.0	0.1585892899528734
