Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.13	-13.32	0.0	0.1801474538326888
2	1	2018	-20.61	-5.08	0.0	0.3046878060226317
3	1	2018	-14.72	-2.84	0.0	0.3150281889719608
4	1	2018	-13.97	-6.09	0.0	0.2104401044909485
5	1	2018	-14.02	-6.92	0.0	0.1881804947011895
6	1	2018	-12.42	0.72	0.0	0.3970263197613391
7	1	2018	-8.53	1.22	0.0	0.3489419676469866
8	1	2018	-9.7	-2.32	0.0	0.2468670236980334
9	1	2018	-11.68	-0.79	0.0	0.3391874998075648
10	1	2018	-24.17	-15.93	0.27	0.1198161654721742
11	1	2018	-29.34	-21.82	0.0	0.07492437731029
12	1	2018	-31.23	-19.9	0.0	0.104988970151025
13	1	2018	-27.64	-8.68	0.0	0.2530930423695542
14	1	2018	-22.82	-9.88	0.0	0.2207913656409482
15	1	2018	-29.37	-15.76	0.0	0.150923382386223
16	1	2018	-20.85	-0.92	0.0	0.412360043337259
17	1	2018	-9.11	4.25	0.32	0.5027638220128798
18	1	2018	-7.63	8.14	0.0	0.6804395584972844
19	1	2018	-4.93	4.31	0.0	0.4001275853334517
20	1	2018	-8.04	0.78	0.0	0.3340487773170494
21	1	2018	-11.99	-1.62	0.0	0.3286397174258297
22	1	2018	-11.06	3.47	0.0	0.5265496343812918
23	1	2018	-10.67	-0.56	0.0	0.3440755416375197
24	1	2018	-10.7	-3.39	0.0	0.244901161006147
25	1	2018	-9.82	-1.83	0.0	0.2822199422466082
26	1	2018	-12.73	-6.97	0.66	0.1726351608744241
27	1	2018	-20.64	-13.29	0.0	0.1412470370221336
28	1	2018	-22.84	-14.64	0.0	0.1389074331276461
29	1	2018	-23.5	-3.34	0.0	0.3762966707253898
30	1	2018	-12.41	3.1	0.0	0.5738049745137876
31	1	2018	-23.5	-13.57	0.0	0.1674873141077951
1	2	2018	-26.56	-15.39	0.0	0.1565935705296099
2	2	2018	-21.88	-17.47	2.73	0.0734414157464074
3	2	2018	-27.36	-20.71	1.01	0.0837377436042304
4	2	2018	-28.54	-16.6	0.0	0.1496457829087645
5	2	2018	-26.3	-15.32	0.0	0.1600996916317293
6	2	2018	-27.69	-17.45	0.0	0.1348635429279078
7	2	2018	-27.98	-14.55	0.0	0.1808757941030097
8	2	2018	-26.91	-17.19	0.0	0.1356019427651129
9	2	2018	-28.44	-15.82	0.0	0.1645458401685745
10	2	2018	-20.75	-9.28	0.0	0.255049868008347
11	2	2018	-27.83	-15.52	0.0	0.1685909496097988
12	2	2018	-32.08	-12.73	0.0	0.2142457926441916
13	2	2018	-18.37	1.98	0.0	0.656873700002014
14	2	2018	-14.74	1.31	1.62	0.6554471628242416
15	2	2018	-27.75	-13.38	0.0	0.2078440605828459
16	2	2018	-21.31	-4.55	0.0	0.4405710355973383
17	2	2018	-19.09	-10.17	0.0	0.2221534610606433
18	2	2018	-22.76	-12.56	0.0	0.2013129546601669
19	2	2018	-27.75	-13.54	0.0	0.2147708639579535
20	2	2018	-23.36	-11.92	0.0	0.2340494491367816
21	2	2018	-30.02	-9.79	0.0	0.2955080343332109
22	2	2018	-24.71	-8.43	0.0	0.346343738690579
23	2	2018	-20.09	-5.87	0.0	0.4267240762567041
24	2	2018	-16.67	-1.59	0.0	0.5964177960358564
25	2	2018	-16.54	-1.41	0.0	0.6078237153215317
26	2	2018	-15.2	-4.49	0.0	0.4464279103757056
27	2	2018	-15.04	-1.57	0.0	0.6047305371224269
