Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.5	-13.46	0.0	0.1789399690757462
2	1	2018	-21.03	-4.66	0.0	0.316822930610214
3	1	2018	-14.41	-2.28	0.0	0.3282937790600163
4	1	2018	-13.9	-5.51	0.0	0.2263290746626631
5	1	2018	-13.79	-6.09	0.0	0.2081790131288651
6	1	2018	-11.48	1.8	0.0	0.4218327485935705
7	1	2018	-8.08	2.19	0.0	0.377433675691167
8	1	2018	-9.63	-1.74	0.0	0.2658760901874518
9	1	2018	-10.63	1.02	0.0	0.3838281187733755
10	1	2018	-23.63	-15.01	0.31	0.1307874792487135
11	1	2018	-28.97	-21.67	0.0	0.0746712279166795
12	1	2018	-31.26	-19.63	0.0	0.1084728548279871
13	1	2018	-27.41	-7.85	0.0	0.2682488464971909
14	1	2018	-22.43	-8.76	0.0	0.2416719342243721
15	1	2018	-29.29	-15.37	0.0	0.1565020410728024
16	1	2018	-21.19	0.05	0.0	0.4379845355666963
17	1	2018	-9.13	4.11	0.0	0.4818771513344545
18	1	2018	-7.22	8.23	0.0	0.6492734028247658
19	1	2018	-4.95	4.84	0.0	0.4248423221122909
20	1	2018	-8.22	1.34	0.0	0.3605659509230282
21	1	2018	-12.07	-0.48	0.0	0.3685365857418565
22	1	2018	-11.06	4.7	0.0	0.5614954394018332
23	1	2018	-10.89	0.5	0.0	0.3866271870823279
24	1	2018	-10.75	-1.97	0.0	0.2966439633275217
25	1	2018	-9.16	-0.16	0.0	0.3300471722103064
26	1	2018	-12.28	-5.52	0.52	0.2090961913863618
27	1	2018	-19.61	-13.01	0.0	0.1338061300635226
28	1	2018	-21.75	-13.76	0.41	0.1447655281627085
29	1	2018	-22.64	-2.42	0.0	0.3957547196521834
30	1	2018	-12.18	4.35	0.0	0.6033664686439485
31	1	2018	-22.76	-12.97	0.0	0.1732249160744082
1	2	2018	-26.0	-14.46	0.0	0.1690451231931116
2	2	2018	-21.6	-16.59	3.49	0.0856334027817608
3	2	2018	-27.43	-20.17	0.96	0.0917154139378741
4	2	2018	-29.03	-16.31	0.0	0.155739545593631
5	2	2018	-26.74	-15.24	0.0	0.1638279942616008
6	2	2018	-28.3	-17.24	0.0	0.1410921589866975
7	2	2018	-27.66	-13.66	0.0	0.1945040225311305
8	2	2018	-26.82	-17.08	0.0	0.1366115998863686
9	2	2018	-28.8	-15.84	0.0	0.1655704961236902
10	2	2018	-21.26	-9.35	0.0	0.2590575868093344
11	2	2018	-27.68	-14.93	0.0	0.177618628881997
12	2	2018	-32.52	-12.78	0.0	0.2137413333286685
13	2	2018	-18.94	2.14	0.0	0.6631211945372322
14	2	2018	-13.71	1.24	1.61	0.6531970707900605
15	2	2018	-26.43	-12.79	0.0	0.2171720853423469
16	2	2018	-21.15	-3.88	0.0	0.4654752109620428
17	2	2018	-18.89	-9.74	0.0	0.2358933262429825
18	2	2018	-22.74	-12.35	0.0	0.2079167468661817
19	2	2018	-27.82	-12.73	0.0	0.2340589938822783
20	2	2018	-23.4	-11.51	0.0	0.2472206406977804
21	2	2018	-29.35	-9.37	0.0	0.3092663840306544
22	2	2018	-24.92	-8.7	0.0	0.3409216408311906
23	2	2018	-19.93	-6.03	0.0	0.4229448628887367
24	2	2018	-16.21	-1.76	0.0	0.592385078009371
25	2	2018	-16.63	-0.87	0.0	0.6368299608013434
26	2	2018	-14.86	-4.09	0.0	0.4642444553758068
27	2	2018	-14.81	-0.96	0.0	0.6380772059446524
28	2	2018	-13.53	0.9	0.0	0.740950718217332
1	3	2018	-17.89	-1.61	0.0	0.6291995036298511
2	3	2018	-13.17	-3.46	0.0	0.4910776793332256
3	3	2018	-7.46	-3.53	3.48	0.1681699637416022
4	3	2018	-10.62	-4.67	7.6	0.2225997048506386
5	3	2018	-14.06	-8.67	0.81	0.1835518597594246
6	3	2018	-17.38	-7.57	0.0	0.3378970871376214
7	3	2018	-23.56	-6.06	0.0	0.4473017743738819
8	3	2018	-24.2	-7.62	0.0	0.4005868842002814
9	3	2018	-12.71	-0.47	0.0	0.6658865265455717
10	3	2018	-11.96	-1.53	0.0	0.5869872711684553
11	3	2018	-14.05	2.47	0.0	0.8540693051447003
12	3	2018	-16.03	-0.63	0.0	0.7020154613763582
13	3	2018	-15.96	2.25	0.0	0.843844676358447
14	3	2018	-15.8	-0.91	0.0	0.7015844220668165
15	3	2018	-10.24	-2.58	0.0	0.4779580564387347
16	3	2018	-7.01	2.36	0.0	0.7961105855244826
17	3	2018	-4.73	0.8	1.76	0.4743770738525651
18	3	2018	-5.52	1.52	0.32	0.6296216653375897
19	3	2018	-8.39	0.59	0.0	0.7084855435705133
20	3	2018	-8.37	2.51	0.0	0.8869898132901428
21	3	2018	-10.55	2.67	0.0	0.9468253360433548
22	3	2018	-8.79	1.34	0.0	0.821907262651434
23	3	2018	-4.84	1.17	4.62	0.4377033231389129
24	3	2018	-9.18	3.04	0.0	0.9794292557317013
25	3	2018	-6.2	1.8	0.0	0.7904205284104767
26	3	2018	-7.32	5.15	0.0	1.1537376708514977
27	3	2018	-9.33	5.35	0.0	1.1838213223408796
28	3	2018	-12.62	-1.34	0.7	0.7736579950702819
29	3	2018	-18.97	-5.69	0.78	0.5774278447790155
30	3	2018	-22.17	-12.54	0.0	0.3074521432546762
31	3	2018	-21.61	-9.44	0.0	0.4431673450181469
1	4	2018	-18.24	-5.32	0.0	0.6211888591088651
2	4	2018	-19.93	-5.27	0.0	0.6219730111883405
3	4	2018	-16.23	-3.42	0.0	0.7155209433552882
4	4	2018	-17.87	-2.35	0.0	0.7674576895789648
