Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.33	-13.94	0.0	0.1719003452331058
2	1	2018	-19.97	-5.1	0.0	0.2999805568367829
3	1	2018	-14.71	-3.23	0.0	0.3028482017072951
4	1	2018	-14.05	-6.42	0.0	0.2021809118527814
5	1	2018	-14.2	-7.39	0.0	0.1778726393657821
6	1	2018	-13.21	0.2	0.0	0.3893295603394826
7	1	2018	-9.12	0.94	0.0	0.3502968000917799
8	1	2018	-10.02	-2.55	0.0	0.2458406479250835
9	1	2018	-12.72	-1.53	0.0	0.3307551128122145
10	1	2018	-24.65	-16.2	0.31	0.119311867425027
11	1	2018	-29.89	-21.95	0.0	0.0764375434872484
12	1	2018	-31.6	-20.11	0.0	0.1035623823141873
13	1	2018	-27.9	-9.22	0.0	0.2435429617240206
14	1	2018	-23.4	-9.72	0.0	0.2262879113393452
15	1	2018	-29.66	-15.88	0.0	0.1497144977161373
16	1	2018	-20.89	-1.56	0.0	0.396197464814286
17	1	2018	-9.27	4.36	0.42	0.5309808483987569
18	1	2018	-7.84	7.97	0.0	0.6984034929188908
19	1	2018	-5.21	4.15	0.0	0.3998525742125231
20	1	2018	-8.31	0.36	0.0	0.3235676339103202
21	1	2018	-12.02	-2.28	0.0	0.3065346021025314
22	1	2018	-10.94	2.51	0.0	0.4984305637850763
23	1	2018	-10.88	-1.05	0.0	0.3298622581755958
24	1	2018	-10.59	-3.89	0.0	0.2242656869340275
25	1	2018	-10.27	-2.92	0.0	0.2521353370258611
26	1	2018	-13.02	-7.62	0.59	0.1581831537667457
27	1	2018	-20.76	-13.14	0.0	0.1458641223407279
28	1	2018	-23.21	-15.17	0.0	0.1322475268878976
29	1	2018	-23.92	-4.2	0.0	0.3605468492520321
30	1	2018	-12.83	2.61	0.0	0.575191492798191
31	1	2018	-24.08	-13.39	0.0	0.1747877047588501
1	2	2018	-26.79	-15.96	0.0	0.148516841768174
2	2	2018	-22.17	-17.88	2.24	0.0697190219188405
3	2	2018	-27.71	-20.92	1.19	0.0833507189512392
4	2	2018	-28.39	-16.8	0.0	0.1457900657666196
5	2	2018	-26.31	-15.34	0.0	0.1595122351808327
6	2	2018	-27.68	-17.54	0.0	0.133248875901405
7	2	2018	-28.25	-15.02	0.0	0.1740472737156629
8	2	2018	-27.1	-17.44	0.0	0.1327015828524826
9	2	2018	-28.64	-15.82	0.0	0.1649290993689724
10	2	2018	-20.83	-9.01	0.0	0.2636396813571119
11	2	2018	-28.35	-15.31	0.0	0.1732169662530318
12	2	2018	-32.17	-12.91	0.0	0.2110521618429378
13	2	2018	-18.46	2.0	0.0	0.6536119139866087
14	2	2018	-15.51	1.25	1.67	0.6483506912091328
15	2	2018	-28.22	-13.44	0.0	0.2067151928679446
16	2	2018	-21.26	-4.84	0.0	0.4292459692578425
17	2	2018	-19.31	-10.48	0.0	0.213041110055469
18	2	2018	-23.31	-12.88	0.0	0.1979448644196791
19	2	2018	-27.93	-14.02	0.0	0.2038764977714801
20	2	2018	-23.77	-12.1	0.0	0.2311426313333262
21	2	2018	-30.36	-10.12	0.0	0.2861453218929035
22	2	2018	-24.6	-8.22	0.0	0.3501222299110305
23	2	2018	-20.2	-5.75	0.0	0.4286106173190461
24	2	2018	-16.19	-1.68	0.0	0.5876065476583596
25	2	2018	-16.83	-2.0	0.0	0.5784454072950723
26	2	2018	-15.38	-4.76	0.0	0.4317173074950474
27	2	2018	-15.04	-2.16	0.0	0.57067787182236
28	2	2018	-14.02	0.3	0.0	0.7024718528865335
1	3	2018	-17.82	-3.28	0.0	0.5510200463257364
