Day	Month	Year	Tmin(c)	Tmax(c)	Prcp(mm)	Et0(mm)
1	1	2018	-31.87	-14.06	0.0	0.1718664459976772
2	1	2018	-22.03	-4.74	0.0	0.3188840925293773
3	1	2018	-14.28	-2.03	0.0	0.3348215865308295
4	1	2018	-14.1	-5.35	0.0	0.2349709755397838
5	1	2018	-13.66	-5.74	0.0	0.2162951117629542
6	1	2018	-10.97	2.51	0.0	0.4401148387744634
7	1	2018	-7.86	2.12	0.0	0.3702859999491996
8	1	2018	-9.64	-1.38	0.0	0.2794347005289315
9	1	2018	-10.08	1.6	0.0	0.3962795558060703
10	1	2018	-23.6	-14.64	0.52	0.1375916477462655
11	1	2018	-28.9	-21.71	0.0	0.0740605302383065
12	1	2018	-31.42	-20.28	0.0	0.1021219121625257
13	1	2018	-27.44	-7.54	0.0	0.2742472417507161
14	1	2018	-22.53	-8.72	0.0	0.2437371527907983
15	1	2018	-29.32	-15.62	0.0	0.1535450354193963
16	1	2018	-21.46	-0.54	0.0	0.425020564922942
17	1	2018	-9.51	3.8	0.0	0.4774260224165555
18	1	2018	-6.96	7.63	0.0	0.6275281807322354
19	1	2018	-5.01	4.6	0.0	0.4170398435177977
20	1	2018	-8.5	1.69	0.0	0.3816538955020114
21	1	2018	-12.15	0.14	0.0	0.3922138364936667
22	1	2018	-11.14	4.57	0.0	0.5675519060097772
23	1	2018	-11.07	0.77	0.0	0.4005556376075866
24	1	2018	-10.9	-1.12	0.0	0.3306918028223224
25	1	2018	-8.84	0.92	0.0	0.3661452299668838
26	1	2018	-12.26	-5.29	0.45	0.2166822142612426
27	1	2018	-19.03	-13.06	0.0	0.1247348473653724
28	1	2018	-21.43	-13.31	0.36	0.1509274066969397
29	1	2018	-22.3	-2.36	0.0	0.399672320296989
30	1	2018	-12.32	4.38	0.0	0.6188162707656175
31	1	2018	-22.6	-13.08	0.0	0.1700181299181601
1	2	2018	-26.14	-14.48	0.0	0.1701828023326003
2	2	2018	-21.64	-16.42	4.05	0.0894911825600836
3	2	2018	-27.7	-19.81	1.54	0.0990181959714304
4	2	2018	-29.22	-16.36	0.0	0.1561291495955743
5	2	2018	-26.9	-15.71	0.0	0.1574640602002354
6	2	2018	-28.76	-17.09	0.0	0.1455450294118486
7	2	2018	-27.56	-13.2	0.0	0.2022265682657254
8	2	2018	-26.96	-17.07	0.0	0.1379899942935895
9	2	2018	-29.14	-16.49	0.0	0.1576955463667193
10	2	2018	-21.51	-9.92	0.0	0.2442867906591204
11	2	2018	-27.81	-15.21	0.0	0.1740695085278163
12	2	2018	-32.86	-13.01	0.0	0.2104629044391286
13	2	2018	-19.52	1.86	0.0	0.6508550136756235
14	2	2018	-13.3	1.14	1.72	0.6517792820893199
15	2	2018	-26.26	-12.89	0.0	0.2122244600105302
16	2	2018	-20.93	-3.84	0.0	0.4611816924135535
17	2	2018	-18.77	-10.13	0.0	0.2191472666269127
18	2	2018	-22.9	-12.5	0.0	0.2071841182653441
19	2	2018	-27.94	-13.5	0.0	0.2190992206248628
20	2	2018	-23.76	-11.7	0.0	0.2472887603980635
21	2	2018	-28.8	-10.0	0.0	0.3006623675538384
22	2	2018	-25.1	-8.94	0.0	0.3374820418051187
23	2	2018	-19.85	-6.91	0.0	0.393325661517829
24	2	2018	-16.23	-1.91	0.0	0.5919335435284991
25	2	2018	-16.65	-1.19	0.0	0.6295031890877236
26	2	2018	-14.63	-3.98	0.0	0.4734943545437437
27	2	2018	-14.52	-1.23	0.0	0.6305086593709224
28	2	2018	-13.61	0.73	0.0	0.7403537050680814
1	3	2018	-18.17	-1.4	0.0	0.6431616025149749
2	3	2018	-12.57	-3.8	0.0	0.4568169954367635
3	3	2018	-7.69	-3.96	3.9	0.1591188734374441
4	3	2018	-10.34	-4.86	7.92	0.2085330056976627
5	3	2018	-13.75	-8.76	0.83	0.1736461208488709
6	3	2018	-17.51	-7.78	0.0	0.327220386364308
7	3	2018	-23.59	-5.68	0.0	0.4561481811459066
8	3	2018	-24.06	-7.93	0.0	0.3887479927747045
9	3	2018	-12.82	-0.39	0.0	0.6673635694378828
10	3	2018	-11.74	-1.76	0.0	0.5586246070553584
11	3	2018	-14.06	2.3	0.0	0.8389530914477249
12	3	2018	-16.46	-0.46	0.0	0.7046306399078285
13	3	2018	-16.3	2.43	0.0	0.8429477320260441
14	3	2018	-15.96	-0.65	0.0	0.7090825228906613
15	3	2018	-10.54	-2.79	0.0	0.4676192881619744
16	3	2018	-7.0	2.05	0.0	0.754757914977197
17	3	2018	-5.29	1.01	2.69	0.4006598753586902
18	3	2018	-5.31	1.34	0.55	0.5695177724477054
19	3	2018	-7.82	0.19	0.0	0.6185281209984312
20	3	2018	-8.26	2.07	0.0	0.8243444226580922
21	3	2018	-10.52	2.87	0.0	0.9394268945433172
22	3	2018	-8.39	1.14	0.0	0.7684375147322626
23	3	2018	-4.9	0.62	3.96	0.3563551274083162
24	3	2018	-9.01	2.88	0.0	0.9497017948487078
25	3	2018	-5.96	1.9	0.0	0.7686355019348363
26	3	2018	-7.46	4.62	0.0	1.097123655813331
27	3	2018	-8.94	5.43	0.0	1.1752633956556466
28	3	2018	-11.83	-1.83	0.64	0.7080994660356085
29	3	2018	-18.58	-5.25	0.71	0.5886031309813193
30	3	2018	-22.6	-12.7	0.0	0.3020738171481195
31	3	2018	-22.01	-9.84	0.0	0.4221490698237856
1	4	2018	-18.41	-5.15	0.0	0.6194734188912124
2	4	2018	-19.69	-5.44	0.0	0.6062057857165197
