MinTemp,MaxTemp,Precipitation,ReferenceET,Date
-31.12,-13.19,0.0,0.1818029510363684,2018-01-01
-20.63,-5.0,0.0,0.3066559233413484,2018-01-02
-14.42,-2.56,0.0,0.3196050579946856,2018-01-03
-13.85,-5.87,0.0,0.2148934692512734,2018-01-04
-14.02,-6.74,0.0,0.1931178375425882,2018-01-05
-12.36,0.86,0.0,0.4009029577188287,2018-01-06
-8.45,1.23,0.0,0.3479166656549044,2018-01-07
-9.68,-2.27,0.0,0.248369128744584,2018-01-08
-11.52,-0.59,0.0,0.3433282818225813,2018-01-09
-24.08,-16.18,0.29,0.1151544055214214,2018-01-10
-29.26,-21.83,0.0,0.1,2018-01-11
-31.21,-19.94,0.0,0.1044030259393771,2018-01-12
-27.52,-8.54,0.0,0.2554055489099926,2018-01-13
-22.71,-9.87,0.0,0.2204101830840438,2018-01-14
-29.3,-15.6,0.0,0.1528297661350171,2018-01-15
-20.84,-0.65,0.0,0.419159170343252,2018-01-16
-9.04,4.12,0.35,0.4799487910898841,2018-01-17
-7.55,8.11,0.0,0.6568913250319496,2018-01-18
-4.92,4.29,0.0,0.3990840400477349,2018-01-19
-8.05,0.84,0.0,0.3366780972202361,2018-01-20
-12.01,-1.49,0.0,0.333308102471194,2018-01-21
-11.04,3.62,0.0,0.5169738354709105,2018-01-22
-10.74,-0.3,0.0,0.3546483485282099,2018-01-23
-10.75,-3.23,0.0,0.2516076344393583,2018-01-24
-9.73,-1.71,0.0,0.2844939892211387,2018-01-25
-12.69,-6.97,0.63,0.1716301541138002,2018-01-26
-20.4,-13.3,0.0,0.1382053362496103,2018-01-27
-22.56,-14.47,0.0,0.1391687291551062,2018-01-28
-23.24,-3.0,0.0,0.3809912012912139,2018-01-29
-12.33,3.07,0.0,0.555614835771782,2018-01-30
-23.39,-13.7,0.0,0.1643025586570591,2018-01-31
-26.45,-15.26,0.0,0.1582583347638071,2018-02-01
-21.86,-17.46,2.97,0.1,2018-02-02
-27.32,-20.64,1.06,0.1,2018-02-03
-28.63,-16.57,0.0,0.1503911256045463,2018-02-04
-26.39,-15.32,0.0,0.1608120565601997,2018-02-05
-27.74,-17.49,0.0,0.1347166647471915,2018-02-06
-27.83,-14.36,0.0,0.1834710945504631,2018-02-07
-26.81,-17.14,0.0,0.1359321347828953,2018-02-08
-28.46,-15.91,0.0,0.1633488145954825,2018-02-09
-20.84,-9.34,0.0,0.2546901089023086,2018-02-10
-27.73,-15.58,0.0,0.1673333880598888,2018-02-11
-32.08,-12.62,0.0,0.2160045948792539,2018-02-12
-18.47,2.01,0.0,0.6576159404594546,2018-02-13
-14.59,1.28,1.79,0.6549750426512865,2018-02-14
-27.71,-13.28,0.0,0.2101680109747999,2018-02-15
-21.26,-4.45,0.0,0.4445350927453492,2018-02-16
-19.1,-10.2,0.0,0.221895196839791,2018-02-17
-22.69,-12.58,0.0,0.200044136054452,2018-02-18
-27.67,-13.48,0.0,0.2161929204328911,2018-02-19
-23.38,-11.92,0.0,0.2345989359716728,2018-02-20
-29.91,-9.77,0.0,0.296719148836214,2018-02-21
-24.7,-8.56,0.0,0.3435046383164331,2018-02-22
-19.92,-5.99,0.0,0.4224550053836597,2018-02-23
-16.59,-1.54,0.0,0.5997718559970768,2018-02-24
-16.6,-1.3,0.0,0.6141673511171979,2018-02-25
-15.07,-4.49,0.0,0.4447935544493643,2018-02-26
-14.95,-1.57,0.0,0.605350898145475,2018-02-27
-13.52,0.67,0.0,0.7253935263072816,2018-02-28
-17.54,-2.51,0.0,0.5885947557619319,2018-03-01
-14.1,-3.94,0.0,0.4836346328053828,2018-03-02
-7.96,-3.99,3.39,0.1662287539227947,2018-03-03
-10.91,-5.05,6.81,0.2160276734985406,2018-03-04
-14.28,-8.7,0.7,0.1882052684154714,2018-03-05
-17.36,-7.23,0.0,0.3656455834897971,2018-03-06
-23.53,-6.62,0.0,0.4357919970002183,2018-03-07
-23.99,-8.06,0.0,0.393035015369914,2018-03-08
-13.08,-1.54,0.0,0.6219524866367075,2018-03-09
-12.26,-1.17,0.0,0.6364406461475995,2018-03-10
-13.9,2.69,0.0,0.8788890228345824,2018-03-11
-15.5,-0.78,0.0,0.7065666539240483,2018-03-12
