MinTemp,MaxTemp,Precipitation,ReferenceET,Date
-31.27,-13.39,0.0,0.1797419329706539,2018-01-01
-21.49,-4.87,0.0,0.313449956162341,2018-01-02
-13.91,-2.24,0.0,0.3233108113662082,2018-01-03
-13.53,-5.44,0.0,0.2224825477763641,2018-01-04
-14.04,-6.46,0.0,0.2021748201094151,2018-01-05
-12.65,0.99,0.0,0.4098939748297229,2018-01-06
-8.81,0.87,0.0,0.3434206367250519,2018-01-07
-9.9,-2.11,0.0,0.2597581380534672,2018-01-08
-11.63,-0.37,0.0,0.3535078606049286,2018-01-09
-24.23,-17.86,0.45,0.1,2018-01-10
-29.46,-21.98,0.0,0.1,2018-01-11
-31.52,-20.72,0.0,0.1,2018-01-12
-27.35,-8.27,0.0,0.260890917727279,2018-01-13
-22.66,-10.26,0.0,0.2133652779834166,2018-01-14
-29.33,-15.15,0.0,0.1595504291254121,2018-01-15
-20.92,-0.68,0.0,0.4195027098844744,2018-01-16
-9.31,3.59,0.0,0.4659269776304772,2018-01-17
-7.36,7.44,0.0,0.5863904781784129,2018-01-18
-5.09,3.88,0.0,0.3867708995526926,2018-01-19
-8.18,0.83,0.0,0.3405983896807028,2018-01-20
-11.95,-1.32,0.0,0.3395138512279053,2018-01-21
-10.84,3.01,0.0,0.4750741600701973,2018-01-22
-11.08,0.19,0.0,0.3799408545510422,2018-01-23
-10.7,-2.73,0.0,0.2694439863247425,2018-01-24
-9.63,-1.94,0.0,0.2747211803942083,2018-01-25
-12.84,-7.73,0.77,0.1517135950227993,2018-01-26
-19.65,-13.36,0.0,0.1275345482542581,2018-01-27
-21.89,-14.27,0.67,0.1368122946061786,2018-01-28
-22.82,-2.6,0.0,0.3912771421482693,2018-01-29
-12.49,1.93,0.0,0.4731235044818374,2018-01-30
-23.66,-14.67,0.0,0.1491935159792743,2018-01-31
-26.8,-15.46,0.0,0.1575658016510908,2018-02-01
-22.28,-17.87,3.89,0.1,2018-02-02
-27.5,-20.52,1.47,0.1,2018-02-03
-28.75,-16.68,0.0,0.1501637468777532,2018-02-04
-26.74,-15.65,0.0,0.1580803452663884,2018-02-05
-27.89,-17.65,0.0,0.133887478374465,2018-02-06
-27.61,-14.02,0.0,0.1891587130290146,2018-02-07
-26.57,-17.15,0.0,0.135003801337762,2018-02-08
-28.71,-16.65,0.0,0.1541017999475573,2018-02-09
-21.29,-9.81,0.0,0.2406561966004781,2018-02-10
-27.85,-16.34,0.0,0.1567768969139798,2018-02-11
-32.35,-12.38,0.0,0.2194768280155584,2018-02-12
-19.02,2.0,0.0,0.629943026207564,2018-02-13
-14.35,1.02,2.54,0.5207382916329139,2018-02-14
-28.23,-13.03,0.0,0.2149002872773605,2018-02-15
-21.12,-4.44,0.0,0.4137152431747042,2018-02-16
-19.34,-10.95,0.0,0.2010256865541696,2018-02-17
-22.92,-12.96,0.0,0.1944736016437276,2018-02-18
-27.67,-13.9,0.0,0.2040544527009319,2018-02-19
-24.1,-12.2,0.0,0.2217019394247766,2018-02-20
-29.75,-10.62,0.0,0.2684167712420898,2018-02-21
-24.58,-8.64,0.0,0.3219038128723355,2018-02-22
-19.7,-6.95,0.0,0.3559307597665172,2018-02-23
-16.0,-1.55,0.0,0.5573630612794883,2018-02-24
-16.98,-1.51,0.0,0.566080316014018,2018-02-25
-14.99,-4.64,0.0,0.394515389751406,2018-02-26
-14.72,-2.2,0.0,0.5249708033329068,2018-02-27
-13.72,0.48,0.0,0.6666312988883245,2018-02-28
-17.95,-2.52,0.0,0.5511208660118344,2018-03-01
-13.59,-4.82,0.0,0.4222214108081903,2018-03-02
-8.24,-4.56,5.01,0.1529207784168864,2018-03-03
-11.07,-5.64,8.97,0.1990994557944341,2018-03-04
-14.84,-8.67,0.0,0.2051956578789958,2018-03-05
-17.84,-7.51,0.0,0.3239852554566981,2018-03-06
-23.77,-6.79,0.0,0.4034027498549871,2018-03-07
-24.07,-7.65,0.0,0.3800942041988042,2018-03-08
-12.82,-1.5,0.0,0.5581289108063358,2018-03-09
-12.49,-0.92,0.0,0.5931996235730245,2018-03-10
-13.94,2.58,0.0,0.8128199821374414,2018-03-11
-15.57,-0.88,0.0,0.6475035856407558,2018-03-12
-15.72,2.2,0.0,0.8015483920590922,2018-03-13
-15.43,-1.18,0.0,0.6450872630668847,2018-03-14
-10.67,-3.25,0.0,0.3951271450714084,2018-03-15
-7.22,1.66,0.0,0.6723563662669898,2018-03-16
-3.8,-0.06,3.09,0.2094319044570403,2018-03-17
-6.17,1.04,1.02,0.5526214068660088,2018-03-18
-8.92,-0.8,0.0,0.5374840870445438,2018-03-19
-8.84,1.64,0.0,0.7553153839517429,2018-03-20
-11.14,2.3,0.0,0.8603025530646156,2018-03-21
-8.97,0.46,0.0,0.6797332300639158,2018-03-22
-5.15,0.36,3.88,0.3094275015468131,2018-03-23
-9.54,3.05,0.0,0.9214410456185288,2018-03-24
-6.24,1.61,1.4,0.7081797108748451,2018-03-25
-7.45,4.05,0.0,0.9911280207263784,2018-03-26
-9.77,2.52,0.39,0.9281848238548764,2018-03-27
-14.28,-2.11,0.44,0.6938972711235557,2018-03-28
-18.94,-7.57,0.54,0.4564849179738327,2018-03-29
-22.45,-12.17,0.0,0.3066542798409526,2018-03-30
-22.11,-9.87,0.0,0.4030009492052533,2018-03-31
-19.05,-5.47,0.0,0.5801465325011159,2018-04-01
-20.41,-4.86,0.0,0.6047645424001445,2018-04-02
-17.54,-4.2,0.0,0.6377589477901731,2018-04-03
-18.38,-2.78,0.0,0.7071269757946365,2018-04-04
-18.6,-9.37,0.0,0.3794501455777837,2018-04-05
-23.71,-9.2,0.0,0.4448848404207428,2018-04-06
-21.27,-5.26,0.0,0.6040276453786104,2018-04-07
-12.82,-2.85,0.0,0.6816127431806744,2018-04-08
-7.7,0.93,0.0,0.8374416739340276,2018-04-09
-10.1,6.67,0.0,1.32009911073148,2018-04-10
-3.33,1.51,0.57,0.5657240817641966,2018-04-11
-5.56,-1.06,0.0,0.4456814242267102,2018-04-12
-5.76,0.77,0.0,0.7592740636294171,2018-04-13
-3.34,6.94,0.0,1.3809005772816472,2018-04-14
-3.33,8.36,0.0,1.5041167800982194,2018-04-15
-1.22,4.39,3.0,0.639999389749178,2018-04-16
-2.24,1.39,4.87,0.2678087116933606,2018-04-17
